2026-04-01 09:59:14 | INFO | P5 | ========================
2026-04-01 09:59:14 | INFO | P5 | END main()
2026-04-01 10:01:04 | INFO | P5 | === RUN START ===
2026-04-01 10:01:04 | INFO | P5 | project=CINTEL
2026-04-01 10:01:04 | INFO | P5 | repo_dir=cintel-04-rolling-monitoring
2026-04-01 10:01:04 | INFO | P5 | python=3.14.2
2026-04-01 10:01:04 | INFO | P5 | os=Windows 11
2026-04-01 10:01:04 | INFO | P5 | shell=powershell
2026-04-01 10:01:04 | INFO | P5 | cwd=.
2026-04-01 10:01:04 | INFO | P5 | github_actions=False
2026-04-01 10:01:04 | INFO | P5 | ========================
2026-04-01 10:01:04 | INFO | P5 | START main()
2026-04-01 10:01:04 | INFO | P5 | ========================
2026-04-01 10:01:04 | INFO | P5 | ROOT_DIR = .
2026-04-01 10:01:04 | INFO | P5 | DATA_FILE = data\system_metrics_timeseries_dawson.csv
2026-04-01 10:01:04 | INFO | P5 | OUTPUT_FILE = artifacts\rolling_metrics_dawson.csv
2026-04-01 10:01:04 | INFO | P5 | ARTIFACTS_DIR = artifacts
2026-04-01 10:01:04 | INFO | P5 | Loaded 50 time-series records
2026-04-01 10:01:04 | INFO | P5 | Sorted records by timestamp
2026-04-01 10:01:04 | INFO | P5 | Computed rolling mean signals
2026-04-01 10:01:04 | INFO | P5 | Computed rolling error rate percentage
2026-04-01 10:01:16 | INFO | P5 | === RUN START ===
2026-04-01 10:01:16 | INFO | P5 | project=CINTEL
2026-04-01 10:01:16 | INFO | P5 | repo_dir=cintel-04-rolling-monitoring
2026-04-01 10:01:16 | INFO | P5 | python=3.14.2
2026-04-01 10:01:16 | INFO | P5 | os=Windows 11
2026-04-01 10:01:16 | INFO | P5 | shell=powershell
2026-04-01 10:01:16 | INFO | P5 | cwd=.
2026-04-01 10:01:16 | INFO | P5 | github_actions=False
2026-04-01 10:01:16 | INFO | P5 | ========================
2026-04-01 10:01:16 | INFO | P5 | START main()
2026-04-01 10:01:16 | INFO | P5 | ========================
2026-04-01 10:01:16 | INFO | P5 | ROOT_DIR = .
2026-04-01 10:01:16 | INFO | P5 | DATA_FILE = data\system_metrics_timeseries_dawson.csv
2026-04-01 10:01:16 | INFO | P5 | OUTPUT_FILE = artifacts\rolling_metrics_dawson.csv
2026-04-01 10:01:16 | INFO | P5 | ARTIFACTS_DIR = artifacts
2026-04-01 10:01:16 | INFO | P5 | Loaded 50 time-series records
2026-04-01 10:01:16 | INFO | P5 | Sorted records by timestamp
2026-04-01 10:01:16 | INFO | P5 | Computed rolling mean signals
2026-04-01 10:01:16 | INFO | P5 | Computed rolling error rate percentage
